sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_calibrated_g,ay_calibrated_g,az_calibrated_g,gx_dps,gy_dps,gz_dps
88005,880063,1752,-48,12076,-82,-184,-280,0.01473,-0.00437,1.0001,-0.62595,-1.40458,-2.1374
88006,880073,1744,-24,12048,-80,-189,-281,0.01424,-0.0029,0.99843,-0.61069,-1.44275,-2.14504
88007,880083,1670,-50,12040,-79,-176,-282,0.0097,-0.0045,0.99796,-0.60305,-1.34351,-2.15267
88008,880093,1746,-36,12054,-72,-181,-278,0.01437,-0.00364,0.99879,-0.54962,-1.38168,-2.12214
88009,880103,1722,-16,12044,-74,-179,-284,0.01289,-0.00241,0.99819,-0.56489,-1.36641,-2.16794
88010,880113,1768,-4,12066,-75,-178,-283,0.01572,-0.00167,0.9995,-0.57252,-1.35878,-2.16031
88011,880123,1744,-46,12072,-75,-183,-282,0.01424,-0.00425,0.99986,-0.57252,-1.39695,-2.15267
88012,880133,1716,-42,12122,-77,-186,-280,0.01252,-0.00401,1.00283,-0.58779,-1.41985,-2.1374
88013,880143,1738,-64,12082,-79,-178,-281,0.01387,-0.00536,1.00045,-0.60305,-1.35878,-2.14504
88014,880153,1714,10,12094,-79,-181,-276,0.0124,-0.00082,1.00116,-0.60305,-1.38168,-2.10687
88015,880163,1686,-10,12034,-76,-182,-282,0.01068,-0.00204,0.9976,-0.58015,-1.38931,-2.15267
88016,880173,1740,0,12084,-79,-184,-279,0.014,-0.00143,1.00057,-0.60305,-1.40458,-2.12977
88017,880183,1738,-44,12092,-80,-186,-282,0.01387,-0.00413,1.00105,-0.61069,-1.41985,-2.15267
88018,880193,1812,-74,12070,-76,-187,-285,0.01842,-0.00597,0.99974,-0.58015,-1.42748,-2.17557
88019,880203,1776,6,12052,-78,-183,-282,0.01621,-0.00106,0.99867,-0.59542,-1.39695,-2.15267
88020,880213,1780,-20,12050,-79,-178,-273,0.01645,-0.00266,0.99855,-0.60305,-1.35878,-2.08397
88021,880223,1722,-30,12050,-79,-187,-287,0.01289,-0.00327,0.99855,-0.60305,-1.42748,-2.19084
88022,880233,1674,-18,12080,-71,-192,-280,0.00995,-0.00253,1.00033,-0.54198,-1.46565,-2.1374
88023,880243,1786,-38,12062,-70,-181,-281,0.01682,-0.00376,0.99926,-0.53435,-1.38168,-2.14504
88024,880253,1736,10,12092,-69,-183,-283,0.01375,-0.00082,1.00105,-0.52672,-1.39695,-2.16031
88025,880263,1766,-22,12104,-75,-185,-279,0.01559,-0.00278,1.00176,-0.57252,-1.41221,-2.12977
88026,880273,1796,-56,12062,-73,-188,-281,0.01743,-0.00486,0.99926,-0.55725,-1.43511,-2.14504
88027,880283,1764,-42,12026,-80,-183,-279,0.01547,-0.00401,0.99712,-0.61069,-1.39695,-2.12977
88028,880293,1772,-38,12056,-79,-188,-281,0.01596,-0.00376,0.99891,-0.60305,-1.43511,-2.14504
88029,880303,1780,-6,12054,-78,-178,-286,0.01645,-0.0018,0.99879,-0.59542,-1.35878,-2.18321
88030,880313,1706,12,12002,-74,-176,-284,0.01191,-0.00069,0.9957,-0.56489,-1.34351,-2.16794
88031,880323,1696,-42,12028,-74,-178,-282,0.0113,-0.00401,0.99724,-0.56489,-1.35878,-2.15267
88032,880333,1690,-30,12086,-73,-183,-278,0.01093,-0.00327,1.00069,-0.55725,-1.39695,-2.12214
88033,880343,1694,-36,12038,-77,-177,-284,0.01117,-0.00364,0.99784,-0.58779,-1.35115,-2.16794
88034,880353,1744,-20,12028,-81,-183,-286,0.01424,-0.00266,0.99724,-0.61832,-1.39695,-2.18321
88035,880363,1752,-16,12070,-75,-192,-281,0.01473,-0.00241,0.99974,-0.57252,-1.46565,-2.14504
88036,880373,1746,24,12134,-79,-179,-283,0.01437,4e-05,1.00354,-0.60305,-1.36641,-2.16031
88037,880383,1768,-40,12100,-75,-179,-282,0.01572,-0.00388,1.00152,-0.57252,-1.36641,-2.15267
88038,880393,1750,-28,12034,-77,-186,-280,0.01461,-0.00315,0.9976,-0.58779,-1.41985,-2.1374
88039,880403,1738,-4,12084,-75,-190,-278,0.01387,-0.00167,1.00057,-0.57252,-1.45038,-2.12214
88040,880413,1748,-26,12056,-73,-178,-280,0.01449,-0.00302,0.99891,-0.55725,-1.35878,-2.1374
88041,880423,1674,-20,12040,-73,-183,-280,0.00995,-0.00266,0.99796,-0.55725,-1.39695,-2.1374
88042,880433,1712,-20,12006,-72,-182,-279,0.01228,-0.00266,0.99594,-0.54962,-1.38931,-2.12977
88043,880443,1714,-18,12016,-75,-176,-279,0.0124,-0.00253,0.99653,-0.57252,-1.34351,-2.12977
88044,880453,1738,-40,12080,-79,-180,-288,0.01387,-0.00388,1.00033,-0.60305,-1.37405,-2.19847
88045,880463,1734,-66,12046,-77,-181,-283,0.01363,-0.00548,0.99831,-0.58779,-1.38168,-2.16031
88046,880473,1722,-60,12094,-72,-186,-282,0.01289,-0.00511,1.00116,-0.54962,-1.41985,-2.15267
88047,880483,1716,-20,12084,-75,-180,-284,0.01252,-0.00266,1.00057,-0.57252,-1.37405,-2.16794
88048,880493,1682,-20,12070,-76,-183,-282,0.01044,-0.00266,0.99974,-0.58015,-1.39695,-2.15267
88049,880503,1770,-38,12072,-76,-192,-278,0.01584,-0.00376,0.99986,-0.58015,-1.46565,-2.12214
88050,880513,1742,-70,12012,-73,-182,-279,0.01412,-0.00572,0.99629,-0.55725,-1.38931,-2.12977
88051,880523,1716,-42,12054,-76,-184,-283,0.01252,-0.00401,0.99879,-0.58015,-1.40458,-2.16031
88052,880533,1726,-36,12026,-78,-186,-281,0.01314,-0.00364,0.99712,-0.59542,-1.41985,-2.14504
88053,880543,1744,-42,12076,-74,-180,-285,0.01424,-0.00401,1.0001,-0.56489,-1.37405,-2.17557
88054,880553,1770,-50,12048,-74,-175,-278,0.01584,-0.0045,0.99843,-0.56489,-1.33588,-2.12214
88055,880563,1732,-52,12046,-79,-182,-278,0.01351,-0.00462,0.99831,-0.60305,-1.38931,-2.12214
88056,880573,1742,-18,12054,-79,-186,-280,0.01412,-0.00253,0.99879,-0.60305,-1.41985,-2.1374
88057,880583,1704,-56,12022,-84,-189,-281,0.01179,-0.00486,0.99689,-0.64122,-1.44275,-2.14504
88058,880593,1760,-32,12094,-76,-193,-283,0.01522,-0.00339,1.00116,-0.58015,-1.47328,-2.16031
88059,880603,1752,-66,12080,-77,-188,-281,0.01473,-0.00548,1.00033,-0.58779,-1.43511,-2.14504
88060,880613,1788,-8,12080,-76,-187,-276,0.01694,-0.00192,1.00033,-0.58015,-1.42748,-2.10687
88061,880623,1734,-8,12034,-77,-187,-278,0.01363,-0.00192,0.9976,-0.58779,-1.42748,-2.12214
88062,880633,1738,-34,12110,-83,-188,-279,0.01387,-0.00351,1.00212,-0.63359,-1.43511,-2.12977
88063,880643,1730,-60,12092,-79,-180,-282,0.01338,-0.00511,1.00105,-0.60305,-1.37405,-2.15267
88064,880653,1732,-28,12054,-77,-184,-284,0.01351,-0.00315,0.99879,-0.58779,-1.40458,-2.16794
88065,880663,1740,-26,12070,-77,-189,-278,0.014,-0.00302,0.99974,-0.58779,-1.44275,-2.12214
88066,880673,1712,-16,12046,-82,-184,-280,0.01228,-0.00241,0.99831,-0.62595,-1.40458,-2.1374
88067,880683,1762,-80,12022,-73,-179,-281,0.01535,-0.00634,0.99689,-0.55725,-1.36641,-2.14504
88068,880693,1776,-58,12068,-79,-181,-284,0.01621,-0.00499,0.99962,-0.60305,-1.38168,-2.16794
88069,880703,1752,-4,12104,-77,-186,-279,0.01473,-0.00167,1.00176,-0.58779,-1.41985,-2.12977
88070,880713,1704,-6,12050,-84,-186,-280,0.01179,-0.0018,0.99855,-0.64122,-1.41985,-2.1374
88071,880723,1734,2,12090,-81,-185,-281,0.01363,-0.00131,1.00093,-0.61832,-1.41221,-2.14504
88072,880733,1732,-82,12048,-76,-190,-283,0.01351,-0.00646,0.99843,-0.58015,-1.45038,-2.16031
88073,880743,1704,-48,12096,-78,-183,-278,0.01179,-0.00437,1.00128,-0.59542,-1.39695,-2.12214
88074,880753,1714,-44,12098,-73,-178,-279,0.0124,-0.00413,1.0014,-0.55725,-1.35878,-2.12977
88075,880763,1704,-18,12046,-75,-180,-281,0.01179,-0.00253,0.99831,-0.57252,-1.37405,-2.14504
88076,880773,1726,-2,12072,-79,-190,-280,0.01314,-0.00155,0.99986,-0.60305,-1.45038,-2.1374
88077,880783,1722,-34,12138,-80,-185,-282,0.01289,-0.00351,1.00378,-0.61069,-1.41221,-2.15267
88078,880793,1764,-38,12026,-75,-184,-283,0.01547,-0.00376,0.99712,-0.57252,-1.40458,-2.16031
88079,880803,1720,-62,12068,-81,-178,-283,0.01277,-0.00523,0.99962,-0.61832,-1.35878,-2.16031
88080,880813,1730,-36,12072,-80,-188,-279,0.01338,-0.00364,0.99986,-0.61069,-1.43511,-2.12977
88081,880823,1770,-28,12044,-80,-181,-277,0.01584,-0.00315,0.99819,-0.61069,-1.38168,-2.1145
88082,880833,1758,-66,12046,-73,-189,-280,0.0151,-0.00548,0.99831,-0.55725,-1.44275,-2.1374
88083,880843,1744,-22,12056,-76,-192,-287,0.01424,-0.00278,0.99891,-0.58015,-1.46565,-2.19084
88084,880853,1744,-32,12010,-76,-187,-287,0.01424,-0.00339,0.99617,-0.58015,-1.42748,-2.19084
88085,880863,1770,10,12068,-78,-185,-289,0.01584,-0.00082,0.99962,-0.59542,-1.41221,-2.20611
88086,880873,1762,-32,12086,-77,-177,-285,0.01535,-0.00339,1.00069,-0.58779,-1.35115,-2.17557
88087,880883,1746,-32,11996,-80,-188,-286,0.01437,-0.00339,0.99534,-0.61069,-1.43511,-2.18321
88088,880893,1730,-16,12096,-76,-184,-282,0.01338,-0.00241,1.00128,-0.58015,-1.40458,-2.15267
88089,880903,1746,-56,12094,-64,-185,-285,0.01437,-0.00486,1.00116,-0.48855,-1.41221,-2.17557
88090,880913,1720,-36,12086,-71,-181,-281,0.01277,-0.00364,1.00069,-0.54198,-1.38168,-2.14504
88091,880923,1758,-46,12026,-72,-195,-284,0.0151,-0.00425,0.99712,-0.54962,-1.48855,-2.16794
88092,880933,1740,-22,12048,-80,-189,-281,0.014,-0.00278,0.99843,-0.61069,-1.44275,-2.14504
88093,880943,1710,-34,12108,-78,-179,-274,0.01216,-0.00351,1.002,-0.59542,-1.36641,-2.0916
88094,880953,1758,-50,12022,-76,-180,-284,0.0151,-0.0045,0.99689,-0.58015,-1.37405,-2.16794
88095,880963,1700,-26,12058,-76,-180,-282,0.01154,-0.00302,0.99903,-0.58015,-1.37405,-2.15267
88096,880973,1716,-42,12054,-74,-187,-280,0.01252,-0.00401,0.99879,-0.56489,-1.42748,-2.1374
88097,880983,1756,-24,12048,-77,-185,-278,0.01498,-0.0029,0.99843,-0.58779,-1.41221,-2.12214
