sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
139692,1396933,1676,70,-21526
139693,1396943,1676,54,-21616
139694,1396953,1724,66,-21514
139695,1396963,1666,30,-21576
139696,1396973,1738,76,-21566
139697,1396983,1726,74,-21554
139698,1396993,1698,54,-21614
139699,1397003,1694,108,-21584
139700,1397013,1692,36,-21620
139701,1397023,1660,84,-21570
139702,1397033,1650,30,-21574
139703,1397043,1710,56,-21600
139704,1397053,1636,84,-21526
139705,1397063,1756,66,-21576
139706,1397073,1714,54,-21556
139707,1397083,1706,56,-21558
139708,1397093,1678,24,-21584
139709,1397103,1730,50,-21582
139710,1397113,1732,30,-21518
139711,1397123,1710,66,-21582
139712,1397133,1662,68,-21522
139713,1397143,1732,30,-21586
139714,1397153,1744,50,-21528
139715,1397163,1680,36,-21602
139716,1397173,1702,20,-21594
139717,1397183,1722,40,-21566
139718,1397193,1730,42,-21624
139719,1397203,1686,34,-21578
139720,1397213,1758,108,-21606
139721,1397223,1708,62,-21600
139722,1397233,1756,60,-21528
139723,1397243,1690,16,-21538
139724,1397253,1722,52,-21572
139725,1397263,1682,12,-21586
139726,1397273,1726,-8,-21576
139727,1397283,1748,72,-21602
139728,1397293,1666,58,-21540
139729,1397303,1682,2,-21554
139730,1397313,1770,56,-21606
139731,1397323,1696,58,-21542
139732,1397333,1712,36,-21510
139733,1397343,1704,38,-21534
139734,1397353,1720,76,-21546
139735,1397363,1764,44,-21624
139736,1397373,1740,46,-21600
139737,1397383,1700,12,-21616
139738,1397393,1716,24,-21580
139739,1397403,1678,40,-21506
139740,1397413,1752,54,-21580
139741,1397423,1752,44,-21594
139742,1397433,1674,38,-21604
139743,1397443,1708,42,-21550
139744,1397453,1630,22,-21552
139745,1397463,1674,38,-21562
139746,1397473,1734,36,-21582
139747,1397483,1710,56,-21610
139748,1397493,1736,72,-21558
139749,1397503,1746,32,-21612
139750,1397513,1690,16,-21602
139751,1397523,1712,26,-21614
139752,1397533,1672,94,-21600
139753,1397543,1760,80,-21606
139754,1397553,1742,60,-21512
139755,1397563,1708,66,-21576
139756,1397573,1632,58,-21526
139757,1397583,1690,12,-21544
